StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
2;;Venediger Au;;;;
3;;Messe Prater;;;;
4;60201009;Perspektivstraße;Wien;49000001;16.4010407;48.217915
5;60200195;Börse;Wien;49000001;16.3660019;48.2155627
7;60201848;Praterstern, Lassallestraße;Wien;49000001;16.3937688;48.219549
8;60201349;Hauptbahnhof S U;Wien;49000001;16.3749761;48.1859187
9;60200619;Julius-Raab-Platz;Wien;49000001;16.3825669;48.2103428
10;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;16.3798899;48.2067269
11;60201460;Weihburggasse;Wien;49000001;16.3777519;48.2046076
12;60201193;Schwarzenbergplatz;Wien;49000001;16.3746168;48.2018176
13;60200975;Oper, Karlsplatz U;Wien;49000001;16.3700893;48.2023325
14;60200190;Burgring;Wien;49000001;16.3637202;48.2038609
15;60200246;Ring, Volkstheater U;Wien;49000001;16.3600371;48.2068287
16;60200994;Parlament;Wien;49000001;16.360109;48.2082715
17;60200192;Rathausplatz, Burgtheater;Wien;49000001;16.3606929;48.210253
18;60201184;Schottentor U;Wien;49000001;16.3621481;48.213725
19;60200195;Börse;Wien;49000001;16.3661277;48.2155567
20;60201182;Schottenring U;Wien;49000001;16.3712032;48.2165922
21;60201145;Salztorbrücke;Wien;49000001;16.3737544;48.21415
22;60201198;Schwedenplatz U;Wien;49000001;16.3778597;48.211576
23;60200619;Julius-Raab-Platz;Wien;49000001;16.3833394;48.2111869
26;;Praterstern S U;;;;
27;60201421;Venediger Au;Wien;49000001;16.396859;48.2179375
28;60201009;Perspektivstraße;Wien;49000001;16.4010407;48.217915
29;;Messe Prater;;;;
30;60200274;Elderschplatz;Wien;49000001;16.4118429;48.2178971
31;60200196;Bösendorferstraße, Karlsplatz U;Wien;49000001;16.3705564;48.2012607
33;60200246;Ring, Volkstheater U;Wien;49000001;16.3607468;48.2063318
36;60201468;Westbahnhof S U;Wien;49000001;16.3392411;48.1964526
37;60201575;Schemmerlstraße;Wien;49000001;16.4233504;48.1574201
39;60201349;Hauptbahnhof S U;Wien;49000001;16.3753085;48.1860325
40;60200989;Karl-Popper-Straße;Wien;49000001;16.3791173;48.18741
41;60200619;Julius-Raab-Platz;Wien;49000001;16.3833484;48.2112707
42;60201198;Schwedenplatz U;Wien;49000001;16.3778237;48.2117137
43;60201145;Salztorbrücke;Wien;49000001;16.3742125;48.2138447
44;60201182;Schottenring U;Wien;49000001;16.3709067;48.2170292
45;60200195;Börse;Wien;49000001;16.3660199;48.2156465
46;60201184;Schottentor U;Wien;49000001;16.3618068;48.213731
47;60200192;Rathausplatz, Burgtheater;Wien;49000001;16.3605941;48.2106302
48;60200994;Parlament;Wien;49000001;16.3600641;48.20896
49;60200246;Ring, Volkstheater U;Wien;49000001;16.3599113;48.206709
50;60200190;Burgring;Wien;49000001;16.3634238;48.2040448
51;60200975;Oper, Karlsplatz U;Wien;49000001;16.3686879;48.2024343
52;60201193;Schwarzenbergplatz;Wien;49000001;16.3746886;48.2016858
53;60201460;Weihburggasse;Wien;49000001;16.3776082;48.2043202
54;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;16.3803031;48.2068886
55;60200619;Julius-Raab-Platz;Wien;49000001;16.3827824;48.2106242
56;60200544;Hoher Markt;Wien;49000001;16.3718949;48.2113964
57;60200905;Hauptbahnhof Ost;Wien;49000001;16.3805995;48.1845112
58;60200905;Hauptbahnhof Ost;Wien;49000001;16.3804917;48.1845232
59;60201205;Schüttaustraße;Wien;49000001;16.417152;48.2309078
60;60201205;Schüttaustraße;Wien;49000001;16.4170711;48.230854
61;;Gänsehäufel;;;;
62;60201204;Schüttauplatz;Wien;49000001;16.4230539;48.2265334
63;60201209;Schödlbergergasse;Wien;49000001;16.4208351;48.228197
64;60200411;Goethehof;Wien;49000001;16.4191103;48.2295494
65;60200641;Kaisermühlen VIC U;Wien;49000001;16.415571;48.2321166
66;;Kaisermühlen VIC U;;;;
67;60201634;Seidelbastgasse;Wien;49000001;16.4712396;48.2142937
68;60201633;Stavangergasse;Wien;49000001;16.4759916;48.2130366
69;60201507;Haßlwanderweg;Wien;49000001;16.478992;48.2125937
70;;Neue Donau Mitte;;;;
71;60201016;Alfred-Adler-Straße;Wien;49000001;16.3815158;48.1820495
72;60200641;Kaisermühlen, VIC U;Wien;49000001;16.415535;48.2328406
73;60200411;Goethehof;Wien;49000001;16.4190025;48.2294178
74;60201209;Schödlbergergasse;Wien;49000001;16.4207273;48.2281551
75;;Schüttauplatz;;;;
76;60200883;Mauthausgasse;Wien;49000001;16.345691;48.187931
77;;Haus des Meeres;;;;
78;;Siebenhirten;;;;
79;60201182;Schottenring U;Wien;49000001;16.3716793;48.2163827
81;60201193;Schwarzenbergplatz;Wien;49000001;16.3747425;48.2010931
88;60200116;Beethovengang;Wien;49000001;16.362777;48.2597722
89;60200457;Habsburgergasse;Wien;49000001;16.3679692;48.2077447
90;60200116;Beethovengang;Wien;49000001;16.3627051;48.259521
91;60200948;Nußdorf S;Wien;49000001;16.3668374;48.2601311
92;60201231;Sickenberggasse;Wien;49000001;16.3670799;48.2581455
93;60200428;Grinzinger Straße;Wien;49000001;16.3651845;48.2544732
94;60200468;Halteraugasse;Wien;49000001;16.3639538;48.2521943
95;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;16.362768;48.2491556
96;60200439;Gunoldstraße;Wien;49000001;16.3616541;48.2448904
97;60201068;Rampengasse;Wien;49000001;16.3606929;48.2412351
98;60201062;Spittelau S U;Wien;49000001;16.3567672;48.2359939
99;60200786;Liechtenwerder Platz;Wien;49000001;16.3565067;48.2325773
100;60200099;Augasse;Wien;49000001;16.3573242;48.2299923
101;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.36116;48.2257434
102;60200112;Bauernfeldplatz;Wien;49000001;16.3607019;48.2210992
103;60201169;Schlickgasse;Wien;49000001;16.3642682;48.2187111
104;60200099;Augasse  (Schleife);Wien;49000001;16.357441;48.229711
105;60201193;Schwarzenbergplatz;Wien;49000001;16.3746707;48.2006261
106;60200446;Gußhausstraße;Wien;49000001;16.3754791;48.1971412
107;60201025;Plößlgasse;Wien;49000001;16.3769344;48.1947161
108;60201173;Schloss Belvedere;Wien;49000001;16.3789556;48.1920992
109;60201346;Quartier Belvedere S;Wien;49000001;16.3813901;48.1876435
111;60201346;Quartier Belvedere S;Wien;49000001;16.3815158;48.1877034
112;60201173;Schloss Belvedere;Wien;49000001;16.3793329;48.1917219
